vendor_id,vendor_name,case_id,case_name,case_type,evidence_strength,tier,is_false_positive,fp_reason,curriculum_weight,year_start,year_end,changed
232466,MATERIALES PARA LA CONSTRUCCION EDIMEX SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
232553,GRUPO CONSTRUCTOR RAIZA SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
258756,CUBSO CONSTRUCCIONES SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
246088,CONSTRUCTORES ASFALTICOS ZOONDU SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
219738,YO MERENGUES SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
257085,SOCPROCAMPO SPR DE RL DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
254568,PRODUCTOS MOBEQT SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
223732,PAVIZAC SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
219196,MAQARRENDA SERVICIOS PETREOS SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
218631,LIN BLUP SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
296748,GIOVANNI ISLAS MUÑOZ,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
219068,HABITAT TERRA SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
229335,FORTAR SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
223402,FERMAL DISEÑO Y PUBLICIDAD SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
220927,FORUM CAPELLI SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
249189,ESTRUCTURAS ARQUITECTONICAS THOLOI SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
222229,LA DORADA VISION INGENIERIA SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
239859,DUPPLEXSA PENINSULAR SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
231488,COMERCIALIZADORA RIUA S DE RL DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
230397,CONSTRUCTORA PRESITE SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
264140,COOKOUT PARTY SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
293009,COMERCIALIZADORA ELISMAR SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
227549,CONSTRUCTORA Y DESARROLLOS INFINITI SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
223958,CORPORATIVO BXE SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
226763,ASISTENCIA TECNICA Y ASESORIA EDUCATIVA SC,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
274821,BAHUD PROCESSING MEXICO S DE RL DE CV,23,Bahud Processing Mexico — Banco del Bienestar Payment Card Monopoly,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2021,2021,True
28506,"CONSTRUCTORA GARZA PONCE, S.A. DE C.V.",24,Constructora Garza Ponce — Nuevo León Infrastructure Overpricing,overpricing,low,2,0,beneficiary_low_evidence:low,0.1,2006,2024,True
233284,"SUMINISTRADOR DE VACUNAS, S.A. DE C.V.",25,BIRMEX Vaccine Intermediary Extraction (Suministrador de Vacunas),overpricing,strong,4,0,active_or_captured:strong,0.8,2018,2022,True
266933,UAB JORINIS,25,BIRMEX Vaccine Intermediary Extraction (Suministrador de Vacunas),overpricing,medium,3,0,active_or_captured:medium,0.5,2018,2022,True
267422,ENTAFARMA UAB,25,BIRMEX Vaccine Intermediary Extraction (Suministrador de Vacunas),overpricing,medium,3,0,active_or_captured:medium,0.5,2018,2022,True
266932,KLASNIC SA DE CV,25,BIRMEX Vaccine Intermediary Extraction (Suministrador de Vacunas),overpricing,medium,3,0,active_or_captured:medium,0.5,2018,2022,True
261748,MULTICORPORACION BREXOT SA DE CV,26,Multicorporacion Brexot — COVID ISSSTE Medical Equipment Fraud (2020),procurement_fraud,direct,4,0,active_or_captured:direct,1.0,2020,2020,True
236035,GRUPO LABORATORIOS IMPERIALES PHARMA SA DE CV,27,Grupo Laboratorios Imperiales Pharma — Vaccine Intermediary SSA/IMSS (2018),overpricing,direct,4,0,active_or_captured:direct,1.0,2017,2018,True
132864,MOLINOS AZTECA  SA DE CV,125,Molinos Azteca DICONSA Food Program 100%DA Ring Leader,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2014,2025,True
45184,"INDUSTRIAL PATRONA, S.A. DE C.V.",126,Industrial Patrona DICONSA 100%DA Food Distribution,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2024,True
19493,MARCAS NESTLE S.A. DE C.V.,127,Marcas Nestle DICONSA 99%DA Food Supply Capture,procurement_fraud,low,2,0,beneficiary_low_evidence:brand_monopoly_diconsa,0.1,2005,2022,True
259061,CREATIVIDAD E INTEGRACION EN SERVICIOS MEDICOS SA DE CV,128,Creatividad e Integracion en Servicios Medicos IMSS Hemodialysis Capture,monopoly,high,3,0,active_or_captured:high,0.8,2020,2025,True
44125,Impromed,129,Impromed IMSS-ISSSTE Laboratory Services 78%DA Capture,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2002,2025,True
40862,"CENTRO DE DIAGNOSTICO ANGELES, S.A. DE C.V.",130,Centro de Diagnostico Angeles IMSS Private Diagnostics 63%DA,monopoly,medium,3,0,active_or_captured:medium,0.5,2009,2025,True
45460,AEROVIAS DE MEXICO,131,Aerovias de Mexico (Aeromexico) Government Travel 96%DA Monopoly,monopoly,low,2,0,beneficiary_low_evidence:govt_travel_capture,0.1,2010,2025,True
17455,"JET VAN CAR RENTAL, S.A. DE C.V.",132,Jet Van Car Rental Government Vehicle Fleet 71%DA Capture,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
148437,CESAR ALFONSO FUENTES AGUIRRE,133,Cesar Alfonso Fuentes Aguirre - Persona Fisica 1.73B IMSS 90%DA,ghost_company,high,3,0,active_or_captured:high,0.8,2015,2024,True
266005,PV METALLS LLC,134,PV Metalls LLC Foreign Entity 1.66B Casa de Moneda 100%DA Metal Sheets,procurement_fraud,high,3,0,active_or_captured:high,0.8,2020,2022,True
45722,DEMOS DESARROLLO DE MEDIOS SA DE CV,135,Demos Desarrollo de Medios (La Jornada) Government Advertising 100%DA,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
80346,"CUETARA DISTRIBUCION, S.A. DE C.V.",136,Cuetara Distribucion DICONSA 100%DA Food Ring Member,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
44997,"COMERCIALIZADORA PEPSICO MEXICO, S. DE R.L. DE C.V.",137,Comercializadora Pepsico Mexico DICONSA 100%DA Food Ring,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2019,True
45050,ALEN DEL NORTE SA DE CV,138,Alen del Norte DICONSA 100%DA Cleaning Products 13945 Contracts,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
45117,"MINSA, S.A. DE C.V.",139,Minsa SA DICONSA 100%DA Corn Flour (Masa Harina) Capture,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2021,True
61022,"COMERCIALIZADORA COLUMBIA, S.A. DE C.V.",140,Comercializadora Columbia DICONSA 98%DA 1.69B Capture,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2020,True
136141,INTEGRA ARRENDA SA DE CV SOFOM ENR,141,Integra Arrenda SOFOM ENR - 3.6B DA Bienestar 2024 Vehicle Transport,procurement_fraud,high,3,0,active_or_captured:high,0.8,2014,2025,True
200343,GRUPO DE SEGURIDAD PRIVADA PRYSE DE MEXICO SA DE CV,142,Grupo de Seguridad Privada Pryse IMSS Hospital Security 55%DA,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
44362,SI VALE MEXICO SA DE CV,143,Si Vale Mexico Meal Voucher Monopoly 62%DA - 15.92B,monopoly,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
17700,"ABALAT, S.A. DE C.V.",144,Abalat SA de CV Blood Bank Services National Health Institutes 68%DA,monopoly,high,3,0,active_or_captured:high,0.8,2005,2025,True
1378,"INFRA, S.A. DE C.V.",145,Infra SA de CV Medical Oxygen Monopoly Trending 75%DA - 41.82B,monopoly,low,1,1,structural_market_monopoly:industrial_oxygen,0.0,2003,2025,True
5259,"ELECTRONICA Y MEDICINA, S.A.",146,Electronica y Medicina SA IMSS Medical Equipment Maintenance 55%DA,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2002,2025,True
5299,"GALIA TEXTIL, S.A. DE C.V.",147,Galia Textil SA de CV IMSS Medical Materials (Curacion) 60%DA,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2002,2025,True
4041,"UNINET, S.A. DE C.V",148,Uninet SA de CV IMSS-CONAGUA Telecom Services 56%DA,monopoly,medium,3,0,active_or_captured:medium,0.5,2002,2025,True
38095,LABORATORIOS DE BIOLOGICOS Y REACTIVOS DE MEXICO S.A. DE C.V,149,BIRMEX Government Vaccine/Pharmacy Intermediary Monopoly 52%DA - 26.69B,monopoly,medium,3,0,active_or_captured:medium,0.5,2003,2025,True
5319,"BAXTER, S.A. DE C.V.",150,Baxter SA de CV IMSS Peritoneal Dialysis Monopoly 75%DA - 28.11B,monopoly,low,1,1,structural_market_monopoly:peritoneal_dialysis,0.0,2002,2025,True
126642,CURRIE & BROWN - MEXICO SA DE CV,151,Currie & Brown Mexico ISSSTE 25.8B Supervision Megacontract 2022,overpricing,high,3,0,active_or_captured:high,0.8,2015,2025,True
1486,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",152,Praxair Mexico Medical Oxygen PEMEX Gas 67%DA - 17.82B,monopoly,low,1,1,structural_market_monopoly:industrial_gas,0.0,2002,2025,True
473,"TELEFONOS DE MEXICO, S.A.B DE C.V.",153,TELMEX Government Telecom Monopoly 77%DA - 20.55B,monopoly,medium,3,0,active_or_captured:medium,0.5,2002,2025,True
78178,BCONNECT SERVICES SA DE CV,154,BConnect Services ISSSTE Contact Center 4.35B Year-End DA 2014,procurement_fraud,high,3,0,active_or_captured:high,0.8,2014,2025,True
127959,LUMO FINANCIERA DEL CENTRO SA DE CV SOFOM ENR,155,Lumo Financiera del Centro SOFOM ENR Vehicle Leasing Bienestar 71%DA - 4.35B,procurement_fraud,high,3,0,active_or_captured:high,0.8,2016,2025,True
17873,"GRUPO PAPELERO GABOR, S. A. DE C. V.",156,Grupo Papelero Gabor CONALITEG Paper Monopoly 92%DA - 4.94B,monopoly,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
124466,"ILAS MEXICO, S.A. DE C.V.",157,ILAS Mexico LICONSA Powdered Milk Monopoly 100%DA - 3.82B (2021),procurement_fraud,high,3,0,active_or_captured:high,0.8,2021,2022,True
46571,CENTRO NACIONAL DE EVALUACION PARA LA EDUCACION SUPERIOR,158,CENEVAL Education Evaluation Monopoly 100%DA SEP/USICAMM - 3.98B,monopoly,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
73795,"PIGUDI GASTRONOMICO, S.A. DE C.V.",159,Pigudi Gastronomico IMSS Hospitality Transport 58%DA - 4.00B,procurement_fraud,high,3,0,active_or_captured:high,0.8,2018,2025,True
43785,AXTEL S A B DE C V,160,Axtel SAB de CV PEMEX-SAT-SEP Telecom Capture 71%DA - 14.04B,monopoly,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
44923,TECNOPROGRAMACION HUMANA ESP EN SISTEMAS OPERATIVOS SA DE CV,161,Tecnoprogramacion Humana ISSSTE-FGR IT Managed Services 57%DA - 5.31B,procurement_fraud,high,3,0,active_or_captured:high,0.8,2010,2025,True
45219,MOLINERA DE MEXICO SA DE CV,162,DICONSA Ring Completion: Molinera 3.04B + La Corona 2.70B + Maseca 2.66B (8.40B total),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
44985,FABRICA DE JABON LA CORONA SA DE CV,162,DICONSA Ring Completion: Molinera 3.04B + La Corona 2.70B + Maseca 2.66B (8.40B total),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
45086,"GRUPO INDUSTRIAL MASECA, S.A.B. DE C.V.",162,DICONSA Ring Completion: Molinera 3.04B + La Corona 2.70B + Maseca 2.66B (8.40B total),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
92401,AXA ASSISTANCE MEXICO SA DE CV,163,AXA Assistance Mexico NAFIN-BANJERCITO Health Insurance 70%DA - 4.15B,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
35071,"QUALITY LABORAL SERVICES, S.A. DE C.V.",164,Quality Laboral Services COMEX PEMEX Staffing 67%DA - 2.59B,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2008,2015,True
124466,"ILAS MEXICO, S.A. DE C.V.",157,ILAS Mexico LICONSA Powdered Milk Monopoly 100%DA - 3.82B (2021),procurement_fraud,high,3,0,active_or_captured:high,0.8,2021,2022,True
46571,CENTRO NACIONAL DE EVALUACION PARA LA EDUCACION SUPERIOR,158,CENEVAL Education Evaluation Monopoly 100%DA SEP/USICAMM - 3.98B,monopoly,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
73795,"PIGUDI GASTRONOMICO, S.A. DE C.V.",159,Pigudi Gastronomico IMSS Hospitality Transport 58%DA - 4.00B,procurement_fraud,high,3,0,active_or_captured:high,0.8,2018,2025,True
43785,AXTEL S A B DE C V,160,Axtel SAB de CV PEMEX-SAT-SEP Telecom Capture 71%DA - 14.04B,monopoly,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
44923,TECNOPROGRAMACION HUMANA ESP EN SISTEMAS OPERATIVOS SA DE CV,161,Tecnoprogramacion Humana ISSSTE-FGR IT Managed Services 57%DA - 5.31B,procurement_fraud,high,3,0,active_or_captured:high,0.8,2010,2025,True
45219,MOLINERA DE MEXICO SA DE CV,162,DICONSA Ring Completion: Molinera 3.04B + La Corona 2.70B + Maseca 2.66B (8.40B total),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
44985,FABRICA DE JABON LA CORONA SA DE CV,162,DICONSA Ring Completion: Molinera 3.04B + La Corona 2.70B + Maseca 2.66B (8.40B total),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
45086,"GRUPO INDUSTRIAL MASECA, S.A.B. DE C.V.",162,DICONSA Ring Completion: Molinera 3.04B + La Corona 2.70B + Maseca 2.66B (8.40B total),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2005,2025,True
92401,AXA ASSISTANCE MEXICO SA DE CV,163,AXA Assistance Mexico NAFIN-BANJERCITO Health Insurance 70%DA - 4.15B,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2025,True
35071,"QUALITY LABORAL SERVICES, S.A. DE C.V.",164,Quality Laboral Services COMEX PEMEX Staffing 67%DA - 2.59B,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2008,2015,True
291533,ABASTECEDORA DE MEDICINAS Y MATERIALES SA DE CV,20,IMSS Overpriced Medicines — Ethomedical Network,overpricing,high,3,0,active_or_captured:high,0.8,2015,2024,True
4325,"VITALMEX INTERNACIONAL, S.A. DE C.V.",165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
4715,CENTRUM PROMOTORA INTERNACIONAL S.A. DE C.V,165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
6038,"HEMOSER, S.A. DE C.V.",165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
31371,"SELECCIONES MEDICAS DEL CENTRO, S.A. DE C.V.",165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
4427,SELECCIONES MEDICAS S.A. DE C.V.,165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
35633,VITALMEX COMERCIAL S.A. DE C.V.,165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
28769,GRUPO VITALMEX S.A. DE C.V.,165,Vitalmex Group COFECE Medical Equipment Cartel ~101B MXN,monopoly,high,3,0,active_or_captured:high,0.8,2002,2025,True
235708,GAMS SOLUTIONS SA DE CV,166,GAMS Solutions IMSS 6.28B Direct Award Pharma Favoritism 88%DA - 8.21B,procurement_fraud,high,3,0,active_or_captured:high,0.8,2015,2025,True
280146,ALMACENAJE Y DISTRIBUCION AVIOR SA DE CV,167,Almacenaje y Distribucion AVIOR BIRMEX Fuerza Mayor DA 3.98B - ASF Confirmed,procurement_fraud,high,3,0,active_or_captured:high,0.8,2020,2025,True
2873,FARMACEUTICOS MAYPO S.A DE C.V,168,Farmaceuticos MAYPO BIRMEX Sub-Contract 88B 82%DA - ASF Documented,monopoly,medium,3,0,active_or_captured:medium,0.5,2002,2025,True
297273,KONKISTOLO SA DE CV,169,Alimentacion Bienestar Shell Network KONKISTOLO/FamilyDuck/Pelmu/Todologos ~1.8B,ghost_companies,high,3,0,active_or_captured:high,0.8,2022,2025,True
293066,COMERCIALIZADORA FAMILYDUCK SA DE CV,169,Alimentacion Bienestar Shell Network KONKISTOLO/FamilyDuck/Pelmu/Todologos ~1.8B,ghost_companies,high,3,0,active_or_captured:high,0.8,2022,2025,True
279096,GRUPO PELMU SA DE CV,169,Alimentacion Bienestar Shell Network KONKISTOLO/FamilyDuck/Pelmu/Todologos ~1.8B,ghost_companies,high,3,0,active_or_captured:high,0.8,2022,2025,True
288385,TODOLOGOS.COM SA DE CV,169,Alimentacion Bienestar Shell Network KONKISTOLO/FamilyDuck/Pelmu/Todologos ~1.8B,ghost_companies,high,3,0,active_or_captured:high,0.8,2022,2025,True
300207,POYAGO SA DE CV,170,POYAGO SA de CV IMSS Diabetes Drug 1000%+ Overpricing - MCCI 2024,overpricing,high,3,0,active_or_captured:high,0.8,2020,2025,True
